"","Sample","Input (%)","Filtered (%)","DenoisedF (%)","DenoisedR (%)","Merged (%)","NonChim (%)"
"1","Sample1","100%","74.1%","69.3%","70.1%","58.7%","38.8%"
"2","Sample2","100%","73.6%","67%","67.8%","59.6%","39.3%"
"3","Sample3","100%","79.1%","77.5%","77.7%","74.7%","47.8%"
"4","Sample4","100%","85.9%","84.7%","85.1%","82.9%","58.3%"
"5","Sample5","100%","81.3%","80.3%","80.4%","77.8%","44.6%"
"6","Sample6","100%","84.9%","83.1%","83.3%","80.4%","52.7%"
"7","Sample7","100%","79.4%","77.5%","77.7%","73.8%","42.4%"
"8","Sample8","100%","81.5%","79.1%","79%","75.1%","52.9%"
"9","Sample9","100%","76.4%","74.8%","74.8%","71.4%","44.2%"
"10","Sample10","100%","82.4%","80.4%","81%","77.4%","50.7%"
"11","Sample11","100%","79.4%","77.2%","77.2%","72%","46.8%"
"12","Sample12","100%","80.6%","78.7%","78.8%","74.7%","46.7%"
"13","Sample13","100%","79.9%","78.1%","78.3%","75.1%","53.7%"
"14","Sample14","100%","77.6%","74.4%","74.8%","68.1%","44.2%"
"15","Sample15","100%","80.2%","78.3%","78.1%","73.3%","48.8%"
"16","Sample16","100%","76.4%","73.8%","74.1%","68.2%","36.8%"
"17","Sample17","100%","86.2%","85.5%","85.6%","83.5%","59.3%"
"18","Sample18","100%","85.2%","83.5%","83.7%","79.2%","56.3%"
"19","Sample19","100%","73.8%","66.8%","67.4%","56.1%","42.9%"
"20","Sample20","100%","86.8%","83.4%","83.5%","77.4%","51.2%"
"21","Sample21","100%","87%","82.8%","82.9%","76.4%","44.2%"
"22","Sample22","100%","89.4%","87.2%","87.3%","82.7%","53.7%"
"23","Sample23","100%","62.2%","53.5%","54.3%","39.4%","29.3%"
"24","Sample24","100%","89.3%","86.9%","87.2%","83.1%","58.4%"
"25","Sample25","100%","87.1%","83.1%","83%","73.9%","48.3%"
"26","Sample26","100%","88.9%","86.3%","86.8%","80.9%","51.8%"
"27","Sample27","100%","88.8%","85.8%","86.2%","79%","42.5%"
"28","Sample28","100%","83.6%","78.1%","78%","68.7%","48.4%"
"29","Sample29","100%","87.9%","82.3%","83%","72.6%","50.1%"
"30","Sample30","100%","86%","79.7%","80.3%","67%","48.4%"
"31","Sample31","100%","77.3%","73.7%","73.7%","66%","45.4%"
"32","Sample32","100%","79.1%","76.8%","76.7%","72%","47.7%"
"33","Sample33","100%","80%","78.1%","78.1%","73.7%","43.7%"
"34","Sample34","100%","77.4%","75.3%","75%","69.7%","45.9%"
"35","Sample35","100%","75.3%","72.5%","71.9%","65%","41.3%"
"36","Sample36","100%","76.7%","71.3%","71.2%","64.4%","48.2%"
